AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
2833,2023,0,0,0,0,$5.09 ,31,A,3.0,559.0,Low,6,12,14,30,20,42,16,46,0,4,0,2,0,2,4,6,2,6,0,6,4,2,6,18,31
21416,2024,0,20,41,0,$85.56 ,29,A,2.0,950.0,Low,8,18,17,42,52,33,6,79,0,4,0,4,0,10,0,8,0,10,0,7,0,28,6,8,29
28297,2024,0,40,10,0,$87.36 ,25,A,41.0,372.0,Low,8,6,16,20,18,32,16,34,0,2,0,6,2,2,0,2,2,6,0,8,2,2,10,6,25
24509,2024,6,40,4,0,$57.20 ,23,A,79.0,954.0,High,6,6,21,17,27,23,12,38,0,4,0,2,2,0,0,4,2,12,0,7,2,5,6,4,23
27190,2024,0,42,2,0,$33.56 ,22,A,7.0,953.0,Medium,8,4,16,16,16,28,8,36,0,2,0,6,2,2,0,0,0,8,0,8,2,0,4,10,22
1553,2023,0,40,0,0,$116.43 ,21,A,79.0,936.0,Medium,6,6,10,20,14,28,10,32,0,2,0,4,0,2,2,2,0,6,0,4,4,0,4,12,21
15766,2024,0,40,2,0,$122.14 ,21,A,29.0,915.0,Low,6,8,10,18,18,24,12,30,0,4,0,2,2,2,0,4,2,4,0,4,2,2,6,8,21
15756,2024,0,40,0,0,$50.76 ,21,A,9.0,493.0,Medium,2,10,14,16,16,26,10,32,0,2,0,0,2,4,0,4,0,6,0,8,0,2,8,6,21
26149,2024,0,81,6,0,$296.07 ,21,A,10.0,925.0,High,12,16,20,47,37,58,28,67,0,4,0,8,0,4,0,12,4,12,0,4,4,9,20,14,21
18829,2024,1,40,10,0,$112.11 ,21,A,30.0,935.0,Medium,8,18,12,15,18,35,9,44,0,4,0,4,0,6,0,12,2,4,0,6,0,2,7,6,21
16773,2024,0,80,0,0,$109.00 ,20,A,27.0,858.0,Medium,20,8,24,28,36,44,20,60,0,8,0,12,4,0,0,4,4,12,0,8,4,4,8,12,20
30979,2024,0,40,0,0,$70.00 ,20,A,8.0,526.0,Low,8,8,8,16,18,22,10,30,0,4,0,4,0,4,0,4,2,4,0,2,2,2,6,6,20
18067,2024,0,40,0,0,$94.00 ,20,A,11.0,949.0,Low,6,8,14,12,14,26,6,34,0,2,0,4,2,2,0,4,0,6,0,8,0,2,4,6,20
22263,2024,0,40,0,0,$159.00 ,20,A,4.0,953.0,Low,4,6,16,14,22,18,16,24,0,0,0,4,2,4,0,0,2,10,0,4,2,2,10,0,20
17414,2024,0,40,0,0,$182.00 ,20,A,29.0,924.0,Medium,6,12,10,12,18,22,8,32,0,4,0,2,2,4,0,6,2,4,0,4,0,2,4,6,20
32165,2024,0,80,0,0,$137.00 ,20,A,11.0,925.0,Medium,16,12,24,28,32,48,16,64,0,8,0,8,0,4,0,8,4,8,0,12,0,8,12,8,20
17202,2024,0,40,0,0,$118.00 ,20,A,3.0,934.0,High,4,8,12,16,18,22,10,30,0,4,0,0,0,4,0,4,2,4,0,6,0,4,8,4,20
18259,2024,0,50,0,0,$163.40 ,20,A,9.0,970.0,Medium,6,8,16,20,24,26,14,36,0,4,0,2,2,4,0,2,2,8,0,6,2,2,8,8,20
16724,2024,0,44,0,0,$85.21 ,20,A,20.0,961.0,Low,12,6,12,14,20,24,8,36,0,8,0,4,0,4,0,2,2,4,0,6,0,2,6,6,20
17226,2024,0,40,0,0,$75.00 ,20,A,4.0,615.0,Medium,8,8,12,12,16,24,6,34,0,2,0,6,0,2,0,6,2,6,0,4,0,4,4,4,20
16145,2024,0,120,0,0,$148.00 ,20,A,4.0,928.0,Medium,30,12,30,48,48,72,30,90,0,12,0,18,0,6,0,6,6,12,0,12,6,6,18,18,20
24021,2024,0,40,0,0,$228.00 ,20,A,7.0,928.0,Medium,6,10,10,14,18,22,8,32,0,4,0,2,0,6,0,4,2,4,0,4,0,2,6,6,20
42603,2024,1,40,0,0,$124.27 ,20,A,87.0,959.0,Medium,6,10,12,13,21,20,8,33,0,4,0,2,2,2,0,6,2,6,0,4,0,5,4,4,20
22916,2024,1,106,0,0,$89.45 ,20,A,74.0,935.0,Medium,20,10,30,47,41,66,21,86,0,5,0,15,0,5,0,5,0,15,0,15,5,11,16,15,20
17011,2024,0,40,0,0,$51.00 ,20,A,33.0,859.0,Medium,4,8,12,16,18,22,10,30,0,4,0,0,0,4,0,4,2,4,0,6,0,4,8,4,20
17088,2024,0,40,0,0,$321.00 ,20,A,11.0,960.0,Medium,2,10,14,14,18,22,10,30,0,2,0,0,2,2,0,6,2,6,0,6,0,4,6,4,20
15977,2024,0,40,0,0,$49.00 ,20,A,52.0,926.0,High,8,6,12,14,16,24,8,32,0,4,0,4,0,4,0,2,2,4,0,6,0,2,6,6,20
21537,2024,0,40,0,0,$326.00 ,20,A,62.0,923.0,Medium,8,8,10,14,20,20,10,30,0,4,0,4,2,2,0,4,2,6,0,2,2,2,4,6,20
23520,2024,0,40,0,0,$129.00 ,20,A,1211.0,924.0,High,6,10,14,10,22,18,0,40,0,2,0,4,0,6,0,4,0,10,0,4,0,4,0,6,20
42586,2024,0,60,0,0,$92.00 ,20,A,8.0,932.0,Medium,9,12,18,21,27,33,12,48,0,3,0,6,3,3,0,6,0,12,0,6,3,3,6,9,20
20708,2024,0,40,0,0,$254.00 ,20,A,3.0,966.0,Medium,6,8,10,16,16,24,8,32,0,2,0,4,0,4,0,4,0,6,0,4,2,2,6,6,20
16368,2024,0,80,0,0,$312.00 ,20,A,96.0,925.0,Medium,8,20,28,24,36,44,12,68,0,4,0,4,4,8,0,8,0,16,0,12,0,4,8,12,20
31080,2024,0,40,0,0,$61.00 ,20,A,10.0,363.0,Medium,6,6,12,16,20,20,12,28,0,4,0,2,2,0,0,4,2,6,0,4,2,4,6,4,20
25172,2024,0,0,0,0,$0.24 ,19,A,23.0,871.0,Medium,0,4,10,24,6,32,10,28,0,0,0,0,0,0,0,4,0,4,0,6,0,2,10,12,19
27437,2024,0,0,0,0,$104.00 ,19,A,21.0,877.0,Low,1,2,4,12,6,13,4,15,0,1,0,0,0,0,0,2,0,3,0,1,0,2,4,6,19
3978,2023,0,0,0,0,$23.00 ,17,A,4.0,321.0,Medium,4,8,10,18,14,26,14,26,0,4,0,0,0,2,2,4,4,0,2,4,2,2,4,10,17
27091,2024,0,30,2,0,$167.56 ,16,A,0.0,935.0,Medium,4,8,10,10,14,18,4,28,0,2,0,2,2,2,0,4,0,6,0,4,0,2,2,6,16
27617,2024,0,53,24,0,$44.21 ,16,A,2.0,929.0,Medium,8,26,34,9,42,35,9,68,0,4,0,4,0,8,0,18,4,26,0,4,0,0,5,4,16
30195,2024,0,30,2,0,$124.31 ,16,A,31.0,927.0,Medium,4,4,10,14,14,18,8,24,0,2,0,2,2,2,0,0,0,6,0,4,2,0,4,8,16
2839,2023,0,0,0,0,$12.91 ,15,A,7.0,871.0,Low,4,6,4,16,8,22,10,20,0,2,0,2,0,0,2,4,0,2,0,2,4,0,4,8,15
42790,2024,0,30,4,0,$208.39 ,15,A,4.0,404.0,Low,6,6,10,12,12,22,6,28,0,2,0,4,0,4,0,2,0,4,0,6,2,0,4,6,15
30540,2024,0,60,0,0,$128.67 ,15,A,2.0,896.0,Medium,12,8,12,28,28,32,20,40,0,8,0,4,0,4,0,4,4,4,0,4,4,4,12,8,15
28145,2024,2,32,0,0,$131.00 ,15,A,19.0,961.0,High,8,4,12,10,16,18,8,26,0,4,0,4,2,0,0,2,2,6,0,4,0,2,4,4,15
27159,2024,0,30,0,0,$199.00 ,15,A,46.0,945.0,High,4,6,10,10,16,14,8,22,0,4,0,0,2,0,0,4,2,4,0,4,0,4,4,2,15
26694,2024,12,20,6,0,$114.79 ,15,A,4.0,801.0,Medium,4,6,6,22,12,26,0,38,0,2,0,2,0,2,0,4,0,4,0,2,0,4,0,18,15
19490,2024,0,30,0,0,$145.00 ,15,A,2.0,900.0,High,4,4,8,14,12,18,8,22,0,2,0,2,0,2,0,2,0,4,0,4,2,2,6,4,15
22535,2024,0,60,0,0,$140.00 ,15,A,20.0,548.0,High,8,16,16,20,24,36,8,52,0,4,0,4,0,8,0,8,0,8,0,8,0,4,8,8,15
20213,2024,0,0,0,0,$6.00 ,14,A,,925.0,Medium,4,8,8,36,16,40,8,48,0,4,0,0,0,0,0,8,0,4,0,4,0,8,8,20,14
27741,2024,2,30,4,0,$129.88 ,14,A,158.0,933.0,Low,4,6,14,12,16,20,8,28,0,2,0,2,0,4,0,2,0,8,0,6,0,2,8,2,14
1741,2023,0,30,0,0,$140.67 ,14,A,54.0,939.0,High,6,4,10,10,12,18,6,24,0,4,0,2,0,2,0,2,0,6,2,2,0,0,4,6,14
18950,2024,0,23,14,0,$109.10 ,13,A,1.0,944.0,High,6,4,19,10,19,20,2,37,0,0,0,6,0,2,0,2,0,17,0,2,0,0,2,8,13
16969,2024,12,14,0,0,$35.96 ,13,A,5.0,758.0,Medium,2,4,8,12,10,16,4,22,0,2,0,0,0,0,0,4,2,4,0,2,0,2,2,8,13
15842,2024,0,26,0,0,$289.42 ,13,A,94.0,934.0,Low,6,6,6,8,10,16,4,22,0,0,0,6,0,4,0,2,0,4,0,2,2,0,2,4,13
16538,2024,0,28,2,0,$390.19 ,12,A,10.0,910.0,Medium,12,10,6,5,8,25,5,28,0,2,0,10,0,0,0,10,0,6,0,0,0,0,5,0,12
23220,2024,2,20,3,0,$178.60 ,12,A,8.0,880.0,Medium,2,4,6,13,8,17,6,19,0,0,0,2,0,0,0,4,0,4,0,2,2,2,4,5,12
22319,2024,4,20,2,0,$79.78 ,12,A,22.0,894.0,Low,6,0,10,10,6,20,4,22,0,0,0,6,0,0,0,0,0,4,0,6,2,0,2,6,12
3237,2023,4,0,0,0,$40.63 ,12,A,4.0,931.0,High,0,4,6,14,6,18,8,16,0,0,0,0,0,2,2,0,2,2,0,2,0,0,4,10,12
28675,2024,0,40,20,0,$91.67 ,12,A,12.0,943.0,Low,4,22,22,12,36,24,8,52,0,4,0,0,4,14,0,4,0,14,0,8,0,0,4,8,12
29200,2024,0,40,8,0,$91.96 ,12,A,25.0,892.0,Medium,12,4,16,16,16,32,8,40,0,4,0,8,0,0,0,4,4,4,0,8,0,4,4,8,12
29256,2024,0,0,0,0,$0.00 ,12,A,10.0,896.0,Medium,8,4,18,14,12,32,2,42,0,4,0,4,0,0,0,4,0,8,0,10,0,0,2,12,12
23723,2024,12,0,0,0,$21.58 ,12,A,67.0,953.0,Medium,1,2,4,5,4,8,2,10,0,1,0,0,0,0,0,2,0,2,0,2,0,1,2,2,12
17707,2024,0,20,4,0,$89.51 ,12,A,4.0,916.0,High,4,6,6,8,10,14,2,22,0,2,0,2,0,2,0,4,0,4,0,2,0,2,2,4,12
19781,2024,0,20,4,0,$105.89 ,12,A,23.0,765.0,High,6,4,8,6,10,14,2,22,0,2,0,4,2,2,0,0,0,4,0,4,0,0,0,6,12
17894,2024,0,40,5,0,$322.56 ,11,A,4.0,716.0,Medium,4,8,16,17,20,25,8,37,0,4,0,0,4,4,0,0,0,8,0,8,0,0,4,13,11
22686,2024,0,24,0,0,$132.87 ,11,A,1.0,950.0,Low,4,2,6,12,14,10,6,18,0,2,0,2,2,0,0,0,0,4,0,2,2,4,2,4,11
22797,2024,0,20,2,0,$191.18 ,11,A,12.0,384.0,High,2,4,6,10,10,12,6,16,0,2,0,0,0,0,0,4,2,2,0,2,0,4,4,2,11
18003,2024,0,23,0,0,$422.78 ,11,A,18.0,947.0,Low,4,6,7,6,8,15,2,21,0,2,0,2,0,4,0,2,0,2,0,5,0,0,2,4,11
1320,2023,0,20,0,0,$27.00 ,11,A,6.0,828.0,Medium,4,4,6,8,10,12,6,16,0,2,0,2,0,2,0,2,0,4,0,2,2,0,4,2,11
16465,2024,0,21,4,0,$118.74 ,11,A,10.0,692.0,Medium,7,2,9,7,12,13,2,23,0,3,0,4,2,0,0,0,0,4,0,5,0,3,0,4,11
29119,2024,0,20,4,0,$186.75 ,11,A,12.0,547.0,Low,2,4,6,12,8,16,4,20,0,2,0,0,0,4,0,0,0,2,0,4,0,0,4,8,11
42752,2024,0,35,5,0,$143.75 ,11,A,15.0,378.0,Medium,5,9,9,17,14,26,7,33,0,5,0,0,2,5,0,2,0,2,0,7,0,0,5,12,11
17733,2024,2,20,0,0,$77.45 ,11,A,20.0,892.0,Medium,4,2,12,4,6,16,4,18,0,0,0,4,0,0,0,2,0,6,0,6,0,0,4,0,11
25202,2024,0,40,4,0,$76.09 ,11,A,14.0,971.0,Low,8,12,8,16,16,28,4,40,0,4,0,4,0,8,0,4,0,4,0,4,0,0,4,12,11
18348,2024,6,20,0,0,$81.92 ,11,A,9.0,822.0,Medium,4,2,6,14,16,10,6,20,0,2,0,2,2,0,0,0,0,4,0,2,2,6,2,4,11
19621,2024,0,20,4,0,$167.79 ,11,A,9.0,499.0,Low,2,4,10,8,12,12,4,20,0,2,0,0,0,4,0,0,0,6,0,4,0,0,4,4,11
25769,2024,0,26,0,0,$119.12 ,11,A,20.0,949.0,Low,6,0,6,14,6,20,4,22,0,0,0,6,0,0,0,0,0,4,0,2,2,0,2,10,11
16341,2024,0,20,0,0,$157.81 ,11,A,18.0,692.0,Low,8,4,8,4,12,12,0,24,0,4,0,4,0,2,0,2,0,6,0,2,0,0,0,4,11
11850,2023,0,20,0,0,$140.40 ,11,A,33.0,535.0,High,2,6,8,6,6,16,4,18,0,2,0,0,0,2,2,2,0,2,0,6,0,0,2,4,11
29555,2024,4,10,0,0,$64.57 ,11,A,80.0,504.0,Medium,3,0,3,8,3,11,2,12,0,0,0,3,0,0,0,0,0,2,0,1,1,0,1,6,11
17794,2024,0,22,0,0,$236.09 ,11,A,28.0,959.0,Low,4,6,4,8,6,16,0,22,0,2,0,2,0,2,0,4,0,0,0,4,0,2,0,6,11
16716,2024,0,20,2,0,$82.09 ,11,A,8.0,916.0,Medium,2,2,4,14,6,16,16,6,0,0,0,2,2,0,0,0,2,0,0,2,2,0,10,2,11
19610,2024,0,22,0,0,$140.10 ,11,A,10.0,939.0,Medium,4,8,4,6,8,14,2,20,0,2,0,2,0,4,0,4,0,2,0,2,0,0,2,4,11
19010,2024,2,20,3,0,$108.96 ,11,A,7.0,933.0,Low,4,4,4,13,10,15,11,14,0,4,0,0,0,2,0,2,2,0,0,2,0,2,9,2,11
18890,2024,0,20,6,0,$225.28 ,11,A,15.0,911.0,Medium,2,4,8,12,8,18,4,22,0,2,0,0,0,4,0,0,0,2,0,6,0,0,4,8,11
17047,2024,0,40,0,0,$135.98 ,11,A,42.0,940.0,Low,2,4,10,8,14,10,6,18,0,2,0,0,0,2,0,2,2,6,0,2,0,2,4,2,11
14717,2024,17,33,0,0,$46.45 ,11,A,67.0,654.0,Medium,9,16,9,16,28,22,13,37,0,3,0,6,0,13,0,3,0,9,0,0,0,3,13,0,11
28921,2024,0,20,2,0,$180.89 ,11,A,8.0,631.0,High,8,8,8,21,20,25,15,30,0,8,0,0,0,4,0,4,4,0,0,4,0,4,11,6,11
19858,2024,0,20,2,0,$118.18 ,11,A,19.0,255.0,Medium,2,6,6,8,10,12,6,16,0,2,0,0,2,0,0,4,2,2,0,2,0,2,2,4,11
24632,2024,2,20,0,0,$96.45 ,11,A,28.0,920.0,Medium,6,0,8,8,6,16,4,18,0,0,0,6,0,0,0,0,0,4,0,4,2,0,2,4,11
20624,2024,0,20,0,0,$86.82 ,11,A,7.0,897.0,Medium,4,6,4,8,6,16,0,22,0,2,0,2,0,2,0,4,0,0,0,4,0,2,0,6,11
22866,2024,2,20,0,0,$254.18 ,11,A,50.0,810.0,Medium,4,4,8,6,12,10,6,16,0,4,0,0,2,0,0,2,2,2,0,4,0,2,2,2,11
17131,2024,0,20,12,0,$137.50 ,11,A,23.0,959.0,Low,2,4,18,8,10,22,6,26,0,2,0,0,0,0,0,4,2,2,0,14,0,4,4,0,11
19810,2024,0,40,120,0,$121.55 ,11,A,19.0,945.0,Medium,16,4,132,12,128,36,12,152,0,4,0,12,0,0,0,4,0,124,0,8,0,0,12,0,11
21887,2024,0,20,2,0,$149.55 ,11,A,19.0,933.0,Medium,4,2,4,12,8,14,6,16,0,2,0,2,0,2,0,0,0,2,0,2,2,0,4,6,11
19359,2024,0,20,2,0,$137.09 ,11,A,20.0,925.0,Medium,2,6,6,8,8,14,2,20,0,0,0,2,0,4,0,2,0,4,0,2,0,0,2,6,11
18902,2024,0,29,0,0,$114.25 ,11,A,30.0,924.0,Medium,3,9,8,12,15,17,9,23,0,3,0,0,0,0,0,9,3,3,0,2,0,6,6,0,11
18285,2024,0,21,0,0,$207.38 ,10,A,1.0,941.0,Low,2,4,13,2,16,5,0,21,0,0,0,2,0,4,0,0,0,10,0,3,0,2,0,0,10
15822,2024,0,20,0,0,$228.00 ,10,A,9.0,417.0,Medium,2,4,6,8,8,12,4,16,0,2,0,0,0,2,0,2,0,2,0,4,0,2,4,2,10
26378,2024,0,20,0,0,$183.50 ,10,A,20.0,923.0,High,4,4,4,8,10,10,6,14,0,4,0,0,0,2,0,2,2,0,0,2,0,2,4,2,10
27784,2024,0,20,0,0,$173.00 ,10,A,22.0,548.0,Medium,4,4,6,6,4,16,0,20,0,2,0,2,0,0,0,4,0,2,0,4,0,0,0,6,10
25268,2024,0,20,0,0,$105.00 ,10,A,3.0,545.0,Medium,4,4,6,6,4,16,0,20,0,2,0,2,0,0,0,4,0,2,0,4,0,0,0,6,10
24974,2024,0,20,0,0,$75.40 ,10,A,21.0,929.0,Medium,4,2,4,10,6,14,4,16,0,4,0,0,0,0,0,2,0,0,0,4,0,2,4,4,10
25264,2024,0,20,0,0,$249.00 ,10,A,95.0,972.0,Medium,2,4,8,6,10,10,4,16,0,2,0,0,2,2,0,0,0,4,0,4,0,0,2,4,10
20731,2024,0,20,0,0,$46.00 ,10,A,54.0,926.0,Medium,6,2,6,6,8,12,4,16,0,2,0,4,0,0,0,2,2,2,0,2,0,2,2,2,10
30863,2024,0,20,0,0,$216.00 ,10,A,56.0,775.0,Low,4,2,6,8,10,10,6,14,0,2,0,2,2,0,0,0,0,4,0,2,2,0,2,4,10
16393,2024,0,30,0,0,$130.00 ,10,A,27.0,922.0,Medium,6,6,6,12,15,15,9,21,0,6,0,0,0,3,0,3,3,0,0,3,0,3,6,3,10
15958,2024,0,20,0,0,$173.00 ,10,A,66.0,910.0,Low,4,6,4,6,10,10,4,16,0,2,0,2,0,2,0,4,2,2,0,0,0,2,2,2,10
246,2023,0,20,0,0,$92.70 ,10,A,12.0,507.0,Medium,2,4,8,6,8,12,4,16,0,2,0,0,0,2,2,0,0,4,0,4,0,0,2,4,10
