AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
7548,2024,1,10,0,0,$171.67 ,29,B,170.0,504.0,High,10,9,11,20,23,27,12,38,0,3,0,7,2,4,0,3,2,6,0,3,2,4,6,8,29
2814,2023,0,0,0,0,$12.00 ,27,B,10.0,562.0,High,4,10,10,30,16,38,12,42,0,2,0,2,0,4,0,6,2,4,2,2,2,2,6,20,27
24358,2024,0,0,0,0,$19.24 ,23,B,2.0,303.0,High,2,2,6,14,7,17,6,18,0,2,0,0,0,0,0,2,0,3,0,3,0,2,6,6,23
16138,2024,0,40,4,0,$82.18 ,22,B,13.0,906.0,Low,10,8,12,14,18,26,6,38,0,4,0,6,0,4,0,4,2,6,0,4,0,2,4,8,22
17081,2024,0,40,2,0,$68.31 ,22,B,7.0,919.0,Medium,8,8,18,14,16,32,8,40,0,2,0,6,2,2,0,4,0,8,0,10,2,0,4,8,22
23786,2024,0,40,4,0,$202.17 ,22,B,6.0,914.0,High,8,10,12,18,14,34,8,40,0,2,0,6,2,2,0,6,0,6,0,6,2,0,4,12,22
22436,2024,2,40,2,0,$112.36 ,22,B,3.0,923.0,High,6,8,10,20,16,28,10,34,0,2,0,4,0,6,0,2,0,6,0,4,2,0,8,10,22
23302,2024,0,80,19,0,$131.43 ,22,B,23.0,960.0,High,12,27,30,32,49,52,16,85,0,0,0,12,0,23,0,4,0,18,0,12,4,4,12,12,22
25932,2024,0,0,0,0,$34.39 ,22,B,1.0,940.0,Medium,6,3,18,39,21,45,15,51,0,6,0,0,0,0,0,3,0,9,0,9,0,6,15,18,22
21292,2024,0,40,4,0,$55.64 ,22,B,40.0,936.0,Medium,8,10,10,16,18,26,8,36,0,4,0,4,0,4,0,6,2,4,0,4,0,4,6,6,22
19548,2024,0,44,2,0,$105.00 ,22,B,11.0,941.0,Medium,8,6,12,20,22,24,12,34,0,6,0,2,0,4,0,2,2,6,0,4,2,2,8,8,22
22607,2024,3,40,2,0,$127.11 ,22,B,4.0,912.0,Medium,4,10,15,16,21,24,8,37,0,2,0,2,0,4,0,6,2,9,0,4,0,4,6,6,22
24506,2024,0,21,0,0,$218.10 ,21,B,30.0,918.0,Medium,5,2,7,7,9,12,5,16,0,2,0,3,1,0,0,1,1,3,0,3,1,1,2,3,21
30709,2024,0,80,3,0,$58.54 ,21,B,75.0,966.0,Medium,16,8,24,35,28,55,16,67,0,4,0,12,0,8,0,0,0,12,0,12,4,0,12,19,21
19306,2024,0,60,0,0,$98.68 ,21,B,6.0,833.0,Medium,15,12,19,18,28,36,9,55,0,6,0,9,0,6,0,6,3,10,0,6,0,3,6,9,21
18483,2024,1,0,0,0,$18.92 ,21,B,19.0,891.0,Medium,4,4,10,25,12,31,9,34,0,4,0,0,0,0,0,4,0,4,0,6,0,4,9,12,21
16066,2024,0,80,6,0,$163.47 ,21,B,14.0,461.0,Low,4,20,28,34,32,54,16,70,0,4,0,0,4,8,0,8,0,12,0,16,0,4,12,18,21
20290,2024,0,46,0,0,$178.96 ,21,B,6.0,895.0,Medium,8,8,18,12,16,30,8,38,0,4,0,4,2,2,0,4,2,4,0,12,0,2,4,6,21
18846,2024,0,42,0,0,$277.71 ,21,B,13.0,532.0,Medium,6,6,12,18,18,24,12,30,0,4,0,2,0,2,0,4,2,4,0,6,2,4,8,4,21
20151,2024,0,42,0,0,$156.69 ,20,B,4.0,725.0,Medium,6,6,16,14,16,26,6,36,0,2,0,4,0,4,0,2,0,8,0,8,0,2,6,6,20
42680,2024,0,60,0,0,$77.00 ,20,B,6.0,897.0,Medium,14,8,20,18,26,34,12,48,0,6,0,8,2,2,0,4,4,8,0,8,0,4,6,8,20
22189,2024,1,40,0,0,$79.00 ,20,B,20.0,949.0,High,10,4,15,14,21,22,10,33,0,4,0,6,2,0,0,2,2,9,0,4,2,2,4,6,20
22198,2024,0,40,0,0,$202.00 ,20,B,12.0,954.0,Medium,6,10,10,14,18,22,8,32,0,4,0,2,0,6,0,4,2,4,0,4,0,2,6,6,20
16605,2024,0,80,0,0,$156.00 ,20,B,61.0,953.0,Medium,16,8,24,32,28,52,16,64,0,4,0,12,0,4,0,4,0,12,0,12,4,4,12,12,20
