AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
16872,2024,2,40,0,0,$135.02 ,22,C,2.0,904.0,Low,8,5,12,17,14,28,8,34,0,2,0,6,0,4,0,1,0,6,0,6,2,0,6,9,22
16731,2024,0,44,0,0,$107.07 ,22,C,27.0,914.0,Low,6,8,10,20,20,24,16,28,0,4,0,2,2,2,0,4,2,4,0,4,2,4,10,4,22
29376,2024,12,34,2,0,$35.43 ,21,C,0.0,931.0,High,2,8,20,20,10,40,12,38,0,2,0,0,2,2,0,4,0,4,0,16,0,0,10,10,21
28450,2024,2,20,0,0,$154.91 ,21,C,27.0,885.0,Low,3,3,7,9,11,11,6,16,0,2,0,1,0,2,0,1,1,4,0,2,1,1,4,3,21
28115,2024,0,40,0,0,$309.00 ,20,C,12.0,861.0,High,8,4,12,16,16,24,10,30,0,2,0,6,0,0,0,4,2,6,0,4,2,4,6,4,20
22601,2024,0,40,0,0,$136.00 ,20,C,0.0,613.0,High,8,6,14,12,18,22,8,32,0,4,0,4,2,0,0,4,2,6,0,6,0,4,4,4,20
16505,2024,0,20,0,0,$101.00 ,20,C,7.0,910.0,High,5,2,6,7,9,11,5,15,0,2,0,3,1,0,0,1,1,3,0,2,1,1,2,3,20
1502,2023,0,40,0,0,$156.50 ,20,C,8.0,957.0,Medium,4,10,12,14,16,24,6,34,0,2,0,2,0,4,2,4,0,8,0,4,2,0,2,10,20
16700,2024,0,20,0,0,$77.00 ,20,C,1.0,955.0,Low,3,3,5,9,9,11,6,14,0,2,0,1,0,1,0,2,1,2,0,2,1,2,4,2,20
22892,2024,0,40,0,0,$70.50 ,20,C,733.0,845.0,Low,4,6,12,18,18,22,12,28,0,2,0,2,0,2,0,4,2,6,0,4,2,4,8,4,20
16589,2024,0,40,0,0,$46.00 ,20,C,6.0,761.0,Medium,6,8,12,14,18,22,8,32,0,2,0,4,2,2,0,4,0,8,0,4,2,2,4,6,20
42835,2024,0,40,0,0,$213.00 ,20,C,1.0,883.0,Medium,10,6,12,12,16,24,6,34,0,2,0,8,2,2,0,2,0,8,0,4,2,0,2,8,20
30832,2024,0,40,0,0,$85.00 ,20,C,1.0,658.0,Medium,6,6,14,14,16,24,8,32,0,2,0,4,0,2,0,4,2,6,0,6,0,4,6,4,20
31072,2024,0,40,0,0,$122.00 ,20,C,2.0,943.0,Medium,10,4,12,14,18,22,10,30,0,4,0,6,2,0,0,2,2,6,0,4,2,2,4,6,20
15672,2024,0,40,0,0,$159.00 ,20,C,1.0,795.0,Low,6,6,12,16,20,20,12,28,0,4,0,2,2,0,0,4,2,6,0,4,2,4,6,4,20
2714,2023,0,0,0,0,$34.91 ,18,C,1.0,951.0,Low,1,2,2,13,4,14,6,12,0,0,0,1,0,1,0,1,0,1,0,1,2,0,4,7,18
2455,2024,0,0,0,0,$121.00 ,17,C,93.0,912.0,Low,4,4,16,44,24,44,16,52,0,4,0,0,0,0,0,4,0,12,0,4,0,8,16,20,17
19485,2024,0,10,0,0,$116.87 ,14,C,2.0,751.0,Low,2,9,8,12,6,25,10,21,0,0,0,2,0,2,0,7,4,0,0,4,0,0,6,6,14
2787,2023,0,0,0,0,$24.91 ,14,C,6.0,443.0,Medium,1,3,2,8,4,10,4,10,0,0,0,1,0,1,1,1,0,2,0,0,1,0,2,5,14
16425,2024,0,42,30,0,$110.92 ,13,C,58.0,966.0,Low,4,16,44,8,48,24,4,68,0,0,0,4,4,4,0,8,0,40,0,4,0,0,0,8,13
24374,2024,9,0,0,0,$12.28 ,13,C,42.0,894.0,Medium,0,9,10,10,12,17,6,23,0,0,0,0,0,4,0,5,2,4,0,4,0,2,4,4,13
22317,2024,0,40,10,0,$163.76 ,13,C,1.0,382.0,High,6,12,16,24,26,32,20,38,0,6,0,0,4,0,0,8,0,8,0,8,4,4,12,4,13
16090,2024,0,24,2,0,$160.29 ,13,C,9.0,588.0,Medium,8,0,8,12,6,22,4,24,0,0,0,8,0,0,0,0,0,4,0,4,2,0,2,8,13
15968,2024,0,20,24,0,$34.09 ,12,C,17.0,332.0,Low,2,4,24,14,30,14,18,26,0,0,0,2,2,2,0,0,2,20,0,2,4,0,10,0,12
28970,2024,0,32,0,0,$25.98 ,11,C,72.0,873.0,Medium,3,6,11,12,17,15,9,23,0,3,0,0,0,0,0,6,3,5,0,3,0,6,6,0,11
15869,2024,1,20,0,0,$191.66 ,11,C,54.0,926.0,Medium,12,0,12,17,13,28,8,33,0,0,0,12,0,0,0,0,0,8,0,4,4,1,4,8,11
