AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
3035,2023,0,0,0,0,$3.09 ,40,D,856.0,433.0,High,12,28,40,80,44,116,44,116,0,4,0,8,0,8,8,12,4,16,4,16,8,4,20,48,40
3042,2023,0,0,0,0,$25.09 ,40,D,1717.0,949.0,Medium,6,14,20,40,22,58,22,58,0,2,0,4,0,4,4,6,2,8,2,8,4,2,10,24,40
2825,2023,0,0,0,0,$21.91 ,36,D,0.0,912.0,High,6,12,18,36,20,52,22,50,0,4,0,2,0,4,4,4,2,6,2,8,4,0,10,22,36
2786,2023,0,0,0,0,$46.09 ,34,D,26.0,566.0,Low,8,12,14,34,20,48,14,54,0,4,0,4,0,4,2,6,2,6,0,6,2,2,8,22,34
2792,2023,4,0,0,0,$35.59 ,29,D,153.0,939.0,Medium,8,12,14,28,18,44,20,42,0,4,0,4,0,4,4,4,2,4,2,6,2,2,10,14,29
2719,2023,2,0,1,0,$61.22 ,27,D,24.0,874.0,High,3,4,6,16,8,21,8,21,0,1,0,2,0,1,0,3,1,2,2,1,2,1,3,10,27
30029,2024,2,0,0,0,$47.44 ,24,D,1.0,916.0,Medium,10,12,36,56,30,84,12,102,0,6,0,4,0,4,0,8,0,16,0,20,0,4,12,40,24
20671,2024,2,0,0,0,$65.20 ,22,D,2.0,950.0,Medium,6,4,10,26,16,30,10,36,0,6,0,0,0,0,0,4,0,6,0,4,0,4,10,12,22
24352,2024,0,50,0,0,$175.71 ,22,D,6.0,671.0,High,10,4,15,21,28,22,10,40,0,4,0,6,2,0,0,2,2,9,0,4,2,9,4,6,22
16950,2024,0,0,0,0,$109.36 ,21,D,1.0,575.0,Medium,72,63,108,144,126,261,54,333,0,18,0,54,0,18,0,45,0,72,0,36,0,18,54,72,21
20449,2024,0,0,0,0,$9.24 ,21,D,21.0,952.0,Medium,4,4,10,24,12,30,8,34,0,4,0,0,0,0,0,4,0,4,0,6,0,4,8,12,21
22064,2024,0,40,2,0,$170.05 ,21,D,10.0,915.0,Medium,8,8,12,14,14,28,4,38,0,2,0,6,0,4,0,4,0,6,0,6,0,2,4,8,21
19457,2024,1,20,0,0,$167.62 ,21,D,9.0,922.0,High,4,4,8,5,8,13,2,19,0,1,0,3,1,2,0,1,0,4,0,4,0,0,1,4,21
16077,2024,0,44,4,0,$173.94 ,21,D,20.0,876.0,Medium,12,8,14,14,24,24,10,38,0,4,0,8,2,2,0,4,2,10,0,2,2,2,4,6,21
18739,2024,4,40,0,0,$144.66 ,20,D,18.0,897.0,High,10,4,16,14,22,22,10,34,0,4,0,6,2,0,0,2,2,10,0,4,2,2,4,6,20
20148,2024,0,40,0,0,$373.00 ,20,D,2.0,848.0,Medium,6,10,10,14,18,22,8,32,0,4,0,2,0,6,0,4,2,4,0,4,0,2,6,6,20
2796,2023,0,40,0,0,$72.50 ,20,D,0.0,463.0,Low,2,6,12,20,8,32,14,26,0,2,0,0,0,0,4,2,2,2,2,6,0,2,6,12,20
27452,2024,0,4,0,0,$62.04 ,20,D,737.0,660.0,Medium,8,4,16,56,24,60,24,60,0,8,0,0,0,0,0,4,0,8,0,8,0,8,24,24,20
29452,2024,0,40,0,0,$55.00 ,20,D,7.0,887.0,Medium,10,6,10,14,14,26,6,34,0,2,0,8,0,4,0,2,0,6,0,4,2,0,4,8,20
26314,2024,0,40,0,0,$73.00 ,20,D,2.0,936.0,Low,8,8,12,12,14,26,4,36,0,2,0,6,0,6,0,2,0,6,0,6,0,0,4,8,20
17435,2024,0,40,0,0,$191.00 ,20,D,3.0,926.0,Low,10,6,12,12,16,24,6,34,0,2,0,8,2,2,0,2,0,8,0,4,2,0,2,8,20
17264,2024,0,40,0,0,$113.00 ,20,D,10.0,940.0,Low,8,4,14,14,16,24,8,32,0,2,0,6,2,0,0,2,0,8,0,6,2,2,4,6,20
28743,2024,0,43,0,0,$134.56 ,20,D,18.0,513.0,Medium,6,6,15,16,23,20,12,31,0,4,0,2,2,2,0,2,2,9,0,4,2,2,6,6,20
16202,2024,0,20,0,0,$31.00 ,20,D,13.0,971.0,Medium,4,5,4,7,5,15,0,20,0,2,0,2,0,1,0,4,0,1,0,3,0,1,0,6,20
