AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
27853,2024,1,31,2,0,$186.44 ,28,E,4.0,874.0,High,7,7,8,12,13,21,6,28,0,2,0,5,1,2,0,4,1,5,0,2,1,1,3,7,28
24477,2024,0,60,0,0,$70.95 ,21,E,1.0,956.0,Low,15,6,18,24,27,36,15,48,0,6,0,9,0,3,0,3,3,9,0,6,3,3,9,9,21
28058,2024,0,40,2,0,$116.52 ,21,E,9.0,847.0,Medium,8,8,12,14,14,28,4,38,0,2,0,6,0,6,0,2,0,6,0,6,0,0,4,10,21
17179,2024,2,40,0,0,$186.95 ,21,E,34.0,954.0,High,6,6,12,18,20,22,12,30,0,4,0,2,0,2,0,4,2,6,0,4,2,4,8,4,21
42560,2024,0,40,0,0,$89.50 ,20,E,7.0,486.0,Medium,6,8,6,20,12,28,16,24,0,2,0,4,2,2,0,4,2,0,0,4,2,2,10,6,20
20285,2024,0,40,0,0,$155.00 ,20,E,34.0,693.0,Medium,8,6,12,14,14,26,6,34,0,0,0,8,0,4,0,2,0,8,0,4,2,0,4,8,20
16504,2024,0,20,0,0,$49.00 ,20,E,7.0,446.0,Medium,5,2,6,7,9,11,5,15,0,2,0,3,1,0,0,1,1,3,0,2,1,1,2,3,20
16488,2024,0,40,0,0,$91.00 ,20,E,5.0,876.0,Medium,8,8,12,12,16,24,8,32,0,4,0,4,2,2,0,4,2,4,0,6,0,2,4,6,20
29514,2024,0,40,0,0,$203.00 ,20,E,1.0,577.0,High,4,10,12,14,16,24,6,34,0,2,0,2,0,6,0,4,0,6,0,6,0,2,6,6,20
16203,2024,0,20,0,0,$80.00 ,20,E,1.0,493.0,Medium,4,5,4,7,5,15,0,20,0,2,0,2,0,1,0,4,0,1,0,3,0,1,0,6,20
29923,2024,0,80,0,0,$273.00 ,20,E,69.0,762.0,High,12,16,28,24,28,52,12,68,0,4,0,8,4,4,0,8,0,12,0,16,0,4,8,12,20
26845,2024,0,80,0,0,$165.00 ,20,E,13.0,931.0,High,8,24,24,24,32,48,12,68,0,4,0,4,4,12,0,8,0,12,0,12,0,0,8,16,20
20181,2024,0,40,0,0,$128.00 ,20,E,64.0,911.0,Medium,6,6,16,12,16,24,6,34,0,2,0,4,2,2,0,2,0,8,0,8,0,2,4,6,20
25114,2024,0,80,0,0,$271.00 ,20,E,19.0,691.0,High,12,16,20,32,32,48,16,64,0,4,0,8,0,12,0,4,0,12,0,8,4,0,12,16,20
28431,2024,4,30,0,0,$98.71 ,16,E,26.0,892.0,High,4,6,10,14,16,18,8,26,0,4,0,0,2,2,0,2,2,4,0,4,0,2,4,8,16
26394,2024,0,0,0,0,$51.61 ,15,E,71.0,921.0,Low,1,1,5,8,4,11,3,12,0,1,0,0,0,0,0,1,0,2,0,3,0,1,3,4,15
30496,2024,0,30,0,0,$63.00 ,15,E,15.0,607.0,Low,8,6,8,8,12,18,4,26,0,2,0,6,0,2,0,4,2,4,0,2,0,2,2,4,15
27029,2024,0,32,0,0,$84.58 ,14,E,204.0,961.0,Low,4,10,10,8,14,18,6,26,0,4,0,0,2,0,0,8,2,4,0,4,0,2,2,4,14
42977,2024,8,40,0,0,$187.75 ,12,E,12.0,960.0,Medium,12,6,12,18,18,30,4,44,0,4,0,8,0,4,0,2,0,4,0,8,0,6,4,8,12
583,2023,2,22,0,0,$82.50 ,12,E,3.0,933.0,Medium,2,6,6,10,12,12,4,20,0,2,0,0,0,4,0,2,0,4,0,2,2,0,2,6,12
27974,2024,0,20,7,0,$180.35 ,12,E,0.0,935.0,High,0,4,15,8,10,17,4,23,0,0,0,0,0,2,0,2,0,6,0,9,0,2,4,2,12
21399,2024,2,20,20,0,$110.32 ,12,E,65.0,954.0,High,6,2,8,26,8,34,20,22,0,2,0,4,0,2,0,0,0,4,0,4,0,0,20,6,12
19406,2024,4,20,0,0,$158.67 ,11,E,15.0,935.0,Medium,2,2,6,14,6,18,18,6,0,0,0,2,2,0,0,0,2,0,0,4,2,0,12,0,11
21031,2024,1,10,0,0,$55.00 ,11,E,110.0,967.0,Low,2,2,2,5,5,6,3,8,0,2,0,0,0,1,0,1,1,0,0,1,0,1,2,2,11
28923,2024,0,20,0,0,$186.73 ,11,E,1.0,931.0,High,6,4,8,4,8,14,2,20,0,2,0,4,2,0,0,2,0,4,0,4,0,0,0,4,11
4078,2024,3,0,3,0,$38.70 ,11,E,2.0,443.0,Medium,4,2,6,10,12,10,6,16,0,2,0,2,2,0,0,0,0,4,0,2,2,2,2,4,11
31386,2024,0,40,0,0,$85.00 ,10,E,6.0,954.0,Low,8,12,4,16,12,28,0,40,0,4,0,4,0,4,0,8,0,0,0,4,0,4,0,12,10
24826,2024,0,20,0,0,$64.00 ,10,E,86.0,950.0,Medium,4,6,6,4,10,10,2,18,0,2,0,2,2,2,0,2,0,4,0,2,0,0,0,4,10
27571,2024,0,20,0,0,$53.00 ,10,E,3.0,426.0,Medium,2,4,6,8,8,12,4,16,0,2,0,0,0,4,0,0,0,2,0,4,0,0,4,4,10
42704,2024,0,20,0,0,$71.00 ,10,E,47.0,254.0,High,2,2,6,10,8,12,6,14,0,0,0,2,0,2,0,0,0,4,0,2,2,0,4,4,10
42804,2024,0,30,0,0,$144.00 ,10,E,6.0,893.0,Low,9,3,9,9,9,21,3,27,0,3,0,6,0,3,0,0,0,3,0,6,0,0,3,6,10
31085,2024,0,20,0,0,$156.00 ,10,E,44.0,653.0,Low,4,4,6,6,12,8,6,14,0,4,0,0,2,0,0,2,2,2,0,2,0,2,2,2,10
23632,2024,0,20,0,0,$110.00 ,10,E,33.0,897.0,High,4,4,4,8,8,12,4,16,0,0,0,4,0,2,0,2,0,4,0,0,2,0,2,4,10
25688,2024,0,20,0,0,$137.00 ,10,E,1.0,889.0,High,4,2,8,6,6,14,2,18,0,0,0,4,0,0,0,2,0,4,0,4,0,2,2,2,10
32575,2024,0,20,0,0,$119.00 ,10,E,2.0,941.0,Medium,8,6,4,2,4,16,2,18,0,2,0,6,0,0,0,6,0,2,0,2,0,0,2,0,10
29785,2024,0,20,0,0,$108.00 ,10,E,1.0,950.0,High,4,4,6,6,12,8,6,14,0,4,0,0,2,0,0,2,2,2,0,2,0,2,2,2,10
19347,2024,0,20,0,0,$199.00 ,10,E,1.0,866.0,High,2,4,6,8,10,10,6,14,0,2,0,0,0,2,0,2,2,2,0,2,0,2,4,2,10
24351,2024,0,20,0,0,$50.00 ,10,E,10.0,777.0,Low,2,6,6,6,8,12,2,18,0,0,0,2,0,4,0,2,0,4,0,2,0,0,2,4,10
26821,2024,0,21,0,0,$148.25 ,10,E,12.0,939.0,Medium,2,5,8,6,11,10,5,16,0,2,0,0,3,2,0,0,0,4,0,4,0,0,2,4,10
17728,2024,0,20,0,0,$57.70 ,10,E,7.0,514.0,Medium,10,2,4,4,6,14,2,18,0,4,0,6,0,0,0,2,0,2,0,2,0,0,2,2,10
19200,2024,0,20,0,0,$107.00 ,10,E,20.0,924.0,Medium,6,2,6,6,6,14,2,18,0,2,0,4,0,2,0,0,0,2,0,4,0,0,2,4,10
19168,2024,0,20,0,0,$61.00 ,10,E,1.0,935.0,High,2,4,12,2,16,4,0,20,0,0,0,2,0,4,0,0,0,10,0,2,0,2,0,0,10
15583,2024,2,0,0,0,$49.00 ,10,E,36.0,404.0,Medium,2,2,4,12,6,14,16,4,0,0,0,2,2,0,0,0,2,0,0,2,2,0,10,0,10
26141,2024,0,40,0,0,$14.75 ,10,E,77.0,954.0,Low,13,10,10,7,30,10,6,34,0,6,0,7,3,7,0,0,0,10,0,0,0,4,3,0,10
25433,2024,0,20,0,0,$265.00 ,10,E,3.0,715.0,Low,2,2,4,12,6,14,16,4,0,0,0,2,2,0,0,0,2,0,0,2,2,0,10,0,10
21069,2024,0,20,0,0,$128.00 ,10,E,21.0,940.0,Medium,4,2,8,6,6,14,2,18,0,0,0,4,0,0,0,2,0,4,0,4,0,2,2,2,10
42405,2024,0,20,0,0,$245.00 ,10,E,18.0,892.0,Medium,2,4,6,8,8,12,4,16,0,2,0,0,0,4,0,0,0,2,0,4,0,0,4,4,10
21097,2024,0,20,0,0,$128.00 ,10,E,10.0,874.0,High,4,2,4,10,8,12,6,14,0,2,0,2,0,2,0,0,0,2,0,2,2,0,4,4,10
12479,2024,0,0,0,0,$318.50 ,10,E,7.0,397.0,High,4,4,12,20,16,24,8,32,0,0,0,4,0,4,0,0,0,8,0,4,0,4,8,8,10
18675,2024,0,20,0,0,$161.00 ,10,E,0.0,957.0,Medium,2,6,6,6,8,12,2,18,0,0,0,2,0,4,0,2,0,4,0,2,0,0,2,4,10
