AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
1342,2023,0,0,0,0,$14.09 ,40,F,685.0,923.0,Low,12,30,40,80,44,118,44,118,0,4,0,8,0,8,8,14,4,16,4,16,8,4,20,48,40
18540,2024,0,0,0,0,$14.00 ,33,F,733.0,868.0,Medium,20,22,43,30,48,67,16,99,0,4,0,16,4,8,0,10,4,18,0,21,4,6,4,16,33
18488,2024,0,50,0,0,$137.40 ,25,F,27.0,962.0,Medium,10,6,14,20,20,30,12,38,0,4,0,6,0,2,0,4,2,6,0,6,2,4,8,6,25
29098,2024,0,0,0,0,$4.00 ,23,F,15.0,419.0,Low,8,12,31,69,27,93,17,103,0,4,0,4,0,4,0,8,0,19,0,12,0,0,17,52,23
25892,2024,0,0,0,0,$19.61 ,23,F,1.0,970.0,Medium,2,2,6,13,7,16,5,18,0,2,0,0,0,0,0,2,0,3,0,3,0,2,5,6,23
25050,2024,2,80,0,0,$43.26 ,22,F,2.0,887.0,Medium,20,14,24,28,28,58,8,78,0,4,0,16,0,8,0,6,0,16,0,8,0,0,8,20,22
27186,2024,0,46,0,0,$172.13 ,22,F,49.0,961.0,Medium,8,12,10,16,18,28,12,34,0,4,0,4,2,2,0,8,2,4,0,4,2,2,6,6,22
17033,2024,0,40,2,0,$247.05 ,21,F,13.0,852.0,High,4,10,14,14,18,24,6,36,0,2,0,2,2,4,0,4,0,8,0,6,0,2,4,8,21
24066,2024,0,42,0,0,$95.59 ,21,F,9.0,836.0,High,8,6,14,14,18,24,10,32,0,4,0,4,2,2,0,2,2,6,0,6,0,2,6,6,21
27268,2024,0,0,0,0,$29.61 ,21,F,144.0,967.0,High,2,2,6,11,7,14,5,16,0,2,0,0,0,0,0,2,0,3,0,3,0,2,5,4,21
17904,2024,3,80,0,0,$115.88 ,21,F,2.0,841.0,Low,8,16,24,35,32,51,19,64,0,0,0,8,0,8,0,8,0,16,0,8,4,4,15,12,21
18286,2024,0,83,20,0,$182.17 ,21,F,11.0,940.0,Low,20,16,44,27,59,48,12,95,0,8,0,12,0,8,0,8,4,32,0,8,0,7,8,12,21
17666,2024,0,40,3,0,$196.79 ,21,F,21.0,900.0,Medium,10,4,12,17,18,25,10,33,0,4,0,6,2,0,0,2,2,6,0,4,2,2,4,9,21
17161,2024,0,80,3,0,$73.47 ,21,F,13.0,932.0,High,20,8,20,35,32,51,20,63,0,8,0,12,0,4,0,4,4,8,0,8,4,4,12,15,21
27387,2024,0,40,0,0,$165.00 ,20,F,19.0,928.0,High,6,10,10,14,18,22,8,32,0,4,0,2,0,4,0,6,2,4,0,4,0,4,6,4,20
16548,2024,0,40,12,0,$96.69 ,20,F,8.0,935.0,Medium,6,20,12,14,30,22,8,44,0,2,0,4,2,14,0,4,0,8,0,4,2,2,4,6,20
21046,2024,0,40,0,0,$91.00 ,20,F,8.0,910.0,Low,4,8,12,16,18,22,10,30,0,4,0,0,0,4,0,4,2,4,0,6,0,4,8,4,20
1636,2023,0,40,0,0,$78.00 ,20,F,648.0,962.0,Low,4,10,12,14,16,24,6,34,0,2,0,2,0,4,2,4,0,8,0,4,2,0,2,10,20
17832,2024,0,40,0,0,$196.00 ,20,F,15.0,919.0,Low,8,6,12,14,14,26,6,34,0,0,0,8,0,4,0,2,0,8,0,4,2,0,4,8,20
21908,2024,0,0,0,0,$63.24 ,20,F,759.0,949.0,High,8,8,16,48,24,56,16,64,0,8,0,0,0,0,0,8,0,8,0,8,0,8,16,24,20
21980,2024,0,40,0,0,$113.75 ,20,F,68.0,974.0,Medium,8,6,14,12,18,22,8,32,0,4,0,4,2,0,0,4,2,6,0,6,0,4,4,4,20
1636,2024,0,40,0,0,$157.45 ,20,F,648.0,945.0,Low,10,4,10,16,16,24,10,30,0,4,0,6,0,2,0,2,2,4,0,4,2,2,6,6,20
22525,2024,0,80,0,0,$213.00 ,20,F,20.0,904.0,Low,8,20,28,24,36,44,12,68,0,4,0,4,4,8,0,8,0,16,0,12,0,4,8,12,20
30876,2024,0,80,0,0,$287.00 ,20,F,93.0,478.0,High,20,8,20,32,32,48,20,60,0,8,0,12,0,4,0,4,4,8,0,8,4,4,12,12,20
