AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
1520,2023,0,0,0,0,$36.00 ,40,Limited Data,3.0,,Medium,8,14,20,38,24,56,22,58,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,22,40
11076,2024,0,15,0,0,$245.00 ,40,Limited Data,20.0,,High,13,19,22,30,36,48,16,68,0,5,0,8,2,9,0,8,2,12,0,8,2,4,10,14,40
3030,2023,0,0,0,0,$34.09 ,40,Limited Data,243.0,950.0,High,12,28,40,80,44,116,44,116,0,4,0,8,0,8,8,12,4,16,4,16,8,4,20,48,40
1015,2023,0,0,0,0,$32.09 ,40,Limited Data,1.0,524.0,Medium,4,7,9,20,11,29,11,29,0,2,0,2,0,2,2,3,1,3,1,4,2,1,5,12,40
3031,2023,0,0,8,0,$43.70 ,40,Limited Data,208.0,950.0,Medium,12,28,40,88,44,124,44,124,0,4,0,8,0,8,8,12,4,16,4,16,8,4,20,56,40
1606,2023,0,0,0,0,$14.09 ,40,Limited Data,1461.0,944.0,Low,12,28,40,80,44,116,44,116,0,4,0,8,0,8,8,12,4,16,4,16,8,4,20,48,40
3041,2023,0,0,0,0,$21.91 ,39,Limited Data,448.0,926.0,Medium,6,14,20,38,22,56,22,56,0,2,0,4,0,4,4,6,2,8,2,8,4,2,10,22,39
2919,2023,0,0,0,0,$45.09 ,39,Limited Data,5.0,809.0,High,16,28,36,76,44,112,40,116,0,8,0,8,0,8,8,12,4,12,4,16,8,4,16,48,39
34974,2024,0,80,0,0,$496.75 ,39,Limited Data,20.0,,Medium,14,16,22,28,34,46,16,64,0,6,0,8,2,6,0,8,2,12,0,8,2,4,10,12,39
2777,2023,0,0,0,0,$38.09 ,38,Limited Data,1.0,,High,8,14,20,34,22,54,22,54,0,4,0,4,0,4,4,6,2,8,2,8,4,0,10,20,38
2918,2023,0,0,0,0,$44.09 ,38,Limited Data,0.0,819.0,High,16,28,36,72,44,108,36,116,0,8,0,8,0,8,8,12,4,12,4,16,8,4,12,48,38
1355,2023,0,0,0,0,$13.00 ,37,Limited Data,,,High,8,11,20,37,20,56,17,59,0,4,0,4,0,4,4,3,2,8,2,8,0,2,9,26,37
2781,2023,0,0,4,0,$51.90 ,36,Limited Data,737.0,631.0,Medium,12,24,32,80,28,120,44,104,0,4,0,8,0,4,8,12,4,8,4,16,8,0,20,52,36
2782,2023,0,0,0,0,$7.09 ,36,Limited Data,9.0,,Medium,6,12,16,38,14,58,22,50,0,2,0,4,0,2,4,6,2,4,2,8,4,0,10,24,36
2780,2023,0,0,0,0,$21.09 ,36,Limited Data,2.0,,Low,12,24,32,76,28,116,44,100,0,4,0,8,0,4,8,12,4,8,4,16,8,0,20,48,36
2776,2023,0,0,0,0,$16.91 ,36,Limited Data,6.0,519.0,Medium,12,24,32,76,28,116,44,100,0,4,0,8,0,4,8,12,4,8,4,16,8,0,20,48,36
2775,2023,0,4,0,0,$22.87 ,36,Limited Data,6.0,,Medium,6,12,18,40,14,62,22,54,0,2,0,4,0,2,4,6,2,4,2,10,4,0,10,26,36
1033,2023,0,0,0,0,$2.91 ,36,Limited Data,5.0,,Medium,3,6,9,18,9,27,10,26,0,2,0,1,0,2,2,2,1,3,1,4,1,0,5,12,36
2795,2023,0,0,0,0,$26.09 ,36,Limited Data,1747.0,,Low,12,24,32,76,28,116,44,100,0,4,0,8,0,4,8,12,4,8,4,16,8,0,20,48,36
1359,2023,0,0,0,0,$42.00 ,33,Limited Data,7.0,,Medium,8,12,16,30,22,44,18,48,0,4,0,4,0,4,2,6,2,6,2,6,4,2,8,16,33
7844,2023,0,0,0,0,$131.61 ,31,Limited Data,19.0,,High,48,62,146,203,96,363,117,342,0,24,0,24,0,12,26,24,12,36,14,84,0,12,65,126,31
2866,2023,0,0,0,0,$28.09 ,31,Limited Data,3.0,507.0,Medium,4,5,4,18,7,24,10,21,0,2,0,2,0,1,2,2,0,1,1,2,2,1,5,10,31
4354,2023,0,0,0,0,$33.91 ,29,Limited Data,2.0,,High,4,5,7,13,9,20,6,23,0,2,0,2,0,2,1,2,0,3,1,3,1,1,3,8,29
4096,2023,0,0,0,0,$19.00 ,26,Limited Data,1.0,,High,6,8,8,15,11,26,11,26,0,4,0,2,0,2,2,4,2,2,1,3,1,0,5,9,26
2808,2023,0,0,0,0,$38.09 ,26,Limited Data,1748.0,950.0,Medium,8,12,20,64,24,80,36,68,0,0,0,8,0,0,4,8,4,8,0,8,8,4,20,32,26
15814,2024,0,50,0,0,$244.60 ,25,Limited Data,22.0,,High,12,8,14,16,22,28,10,40,0,4,0,8,2,2,0,4,2,8,0,4,2,2,4,8,25
19368,2024,0,0,0,0,$8.00 ,25,Limited Data,,,Medium,10,12,38,76,44,92,18,118,0,6,0,4,0,4,0,8,0,26,0,12,0,8,18,50,25
2087,2024,0,50,0,0,$160.00 ,25,Limited Data,7.0,528.0,Low,8,6,16,20,18,32,10,40,0,2,0,6,0,4,0,2,0,8,0,8,2,2,8,8,25
9141,2023,0,0,0,0,"$1,468.00 ",24,Limited Data,1.0,,Medium,24,24,48,48,36,108,36,108,0,12,0,12,0,6,12,6,6,12,6,24,0,0,12,36,24
1015,2024,0,0,0,0,$39.61 ,23,Limited Data,1.0,466.0,Medium,2,2,6,13,7,16,5,18,0,2,0,0,0,0,0,2,0,3,0,3,0,2,5,6,23
34206,2024,0,0,0,0,$39.61 ,23,Limited Data,9.0,,Low,8,8,24,52,28,64,20,72,0,8,0,0,0,0,0,8,0,12,0,12,0,8,20,24,23
34199,2024,0,0,0,0,$58.61 ,23,Limited Data,8.0,,Medium,8,8,24,52,28,64,20,72,0,8,0,0,0,0,0,8,0,12,0,12,0,8,20,24,23
2820,2024,0,0,0,0,$1.09 ,23,Limited Data,292.0,671.0,Medium,4,4,12,26,14,32,10,36,0,4,0,0,0,0,0,4,0,6,0,6,0,4,10,12,23
34527,2024,0,0,0,0,$68.24 ,23,Limited Data,17.0,871.0,High,4,4,12,26,14,32,10,36,0,4,0,0,0,0,0,4,0,6,0,6,0,4,10,12,23
34202,2024,0,0,0,0,$55.61 ,22,Limited Data,10.0,,High,8,8,20,52,28,60,20,68,0,8,0,0,0,0,0,8,0,12,0,8,0,8,20,24,22
34219,2024,0,0,0,0,$54.61 ,22,Limited Data,3.0,,High,8,8,20,52,28,60,20,68,0,8,0,0,0,0,0,8,0,12,0,8,0,8,20,24,22
34218,2024,0,0,0,0,$20.61 ,22,Limited Data,2.0,,Medium,8,8,20,52,28,60,20,68,0,8,0,0,0,0,0,8,0,12,0,8,0,8,20,24,22
34215,2024,0,0,0,0,$18.61 ,22,Limited Data,6.0,,Medium,8,4,24,52,28,60,20,68,0,8,0,0,0,0,0,4,0,12,0,12,0,8,20,24,22
