AccountNumber,Season,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,A Games,B Games,C Games,D Games,Weekend Games,Weekday Games,Promotional Games,Non Promo Games,A + Weekend + Promo,A + Weekend + nonPromo,A + Weekday + Promo,A + Weekday + nonPromo,B + Weekend + Promo,B + Weekend + nonPromo,B + Weekday + Promo,B + Weekday + nonPromo,C + Weekend + Promo,C + Weekend + nonPromo,C + Weekday + Promo,C + Weekday + nonPromo,D + Weekend + Promo,D + Weekend + nonPromo,D + Weekday + Promo,D + Weekday + nonPromo,NumGamesAttend
137,2023,0,0,0,1,$36.00 ,41,D,2.0,505.0,Low,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
176,2023,0,0,4,1,$351.09 ,41,D,14.0,530.0,Medium,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
265,2024,0,0,0,1,$735.00 ,41,D,26.0,937.0,Medium,12,16,24,30,32,50,16,66,0,4,0,8,2,6,0,8,2,12,0,10,2,4,10,14,41
318,2023,0,0,0,1,$112.00 ,41,G,66.0,945.0,Medium,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
541,2023,0,0,0,1,$157.00 ,41,F,10.0,344.0,Medium,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
668,2023,0,0,0,1,$133.00 ,41,G,7.0,447.0,Low,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
668,2024,0,0,0,1,$136.00 ,41,G,7.0,573.0,High,12,16,24,30,32,50,16,66,0,4,0,8,2,6,0,8,2,12,0,10,2,4,10,14,41
897,2023,0,0,0,0,$215.00 ,41,D,1.0,720.0,High,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
1120,2023,0,0,0,0,$34.09 ,41,D,1451.0,924.0,Medium,4,7,10,20,12,29,11,30,0,2,0,2,0,2,2,3,1,4,1,4,2,1,5,12,41
1179,2024,0,40,0,0,$185.00 ,41,Limited Data,4.0,,High,12,16,24,30,32,50,16,66,0,4,0,8,2,6,0,8,2,12,0,10,2,4,10,14,41
1186,2023,0,0,0,1,$47.00 ,41,D,114.0,297.0,Medium,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
1354,2023,0,0,0,1,$65.00 ,41,G,0.0,519.0,Medium,16,28,40,80,48,116,44,120,0,8,0,8,0,8,8,12,4,16,4,16,8,4,20,48,41
1354,2024,0,0,0,1,$99.00 ,41,G,0.0,695.0,High,24,32,48,60,64,100,32,132,0,8,0,16,4,12,0,16,4,24,0,20,4,8,20,28,41
1411,2023,0,0,0,1,$299.00 ,41,Limited Data,0.0,,Low,8,14,20,40,24,58,22,60,0,4,0,4,0,4,4,6,2,8,2,8,4,2,10,24,41
1411,2024,0,0,0,1,$284.00 ,41,Limited Data,0.0,,High,12,16,24,30,32,50,16,66,0,4,0,8,2,6,0,8,2,12,0,10,2,4,10,14,41
